#Stations-Kennziffer	Klima-Kennung	ICAO-Kennung	Stationsname	Stationshöhe in Metern	geogr. Breite	geogr. Länge	Automat für Lufttemperatur seit: 	Beginn Klimareihe
10501	02205		Aachen	202	50° 47'	06° 05'	01.07.1993	1891
10505	02206		Aachen-Orsbach	231	50° 47'	06° 01'		2011
10291	03058		Angermünde	54	53° 01'	13° 59'		1947
10091	03005		Arkona	42	54° 40'	13° 26'		1947
10852	04128	EDMA	Augsburg	462	48° 25'	10° 56'	10.11.1996	1947
10675	04064		Bamberg	239	49° 52'	10° 54'	09.03.1995	1949
10382	03313	EDDT	Berlin-Tegel	36	52° 33	13° 18		1963
10384	03316	EDDI	Berlin-Tempelhof	49	52° 28'	13° 24'	03.01.1994	1948
10224	01474	EDDW	Bremen	5	53° 02'	08° 47'	19.06.1991	1890
10453	03185		Brocken	1142	51° 48'	10° 37'	04.06.1997	1947
10496	03358		Cottbus	69	51° 47'	14° 19'		1887
10131	01478		Cuxhaven	5	53° 52'	08° 42'		1946
10488	03386	EDDC	Dresden-Klotzsche	227	51° 07'	13° 45'	01.09.1995	1967
10400	01192	EDDL	Düsseldorf	37	51° 17'	06° 46'	06.10.1992	1969
10200	01063	EDWE	Emden-Flugplatz	0	53° 23'	07° 14'	01.07.1997	1997
10554	04200	EDDE	Erfurt-Weimar	316	50° 59'	10° 57'	03.07.1991	1951
10055	03835		Fehmarn	3	54° 31'	11° 03'	05.06.1996	1948
10908	02320		Feldberg/Schwarzwald	1490	47° 52'	08° 00'		1945
10578	04428		Fichtelberg	1213	50° 25'	12° 57'	09.10.1990	1947
10637	02640	EDDF	Frankfurt/Main	112	50° 02'	08° 35'	01.03.1993	1949
10815	02751		Freudenstadt	797	47° 27'	08° 24		1949
10439	09029	ETHF	Fritzlar-Flugplatz	174	51° 07'	09° 17'		2000
10895	04890		Fürstenzell	476	48° 32'	13° 21'		1997
10567	04406		Gera-Leumnitz	311	50° 52'	12° 07'		1952
10532	02609		Gießen/Wettenberg	203	50° 36'	08° 39'		1939
10499	03380	EDBX	Görlitz	238	51° 09'	14° 57'	26.05.1994	1947
10184	03016		Greifswald	2	54° 05'	13° 24'	01.01.1979	1947
10791	04489		Großer Arber	1436	49° 06'	13° 08'		1982
10616	02020	EDFH	Hahn	497	49° 56'	07° 15'		1997
10147	01459	EDDH	Hamburg-Fuhlsbüttel	11	53° 38'	09° 59'	05.09.1995	1891
10338	01538	EDDV	Hannover	59	52° 27'	09° 40'	03.06.1992	1936
10015	01040	 	Helgoland	4	54° 10'	07° 53'	23.10.1996	1952
10685	04027		Hof	567	50° 18'	11° 52'	12.02.1998	1947
10962	04161		Hohenpeißenberg	977	47° 48'	11° 00'	09.12.1993	1781
10427	01594		Kahler Asten	839	51° 11'	08° 29'	25.10.1995	1955
10727	02698	EDTK	Karlsruhe	112	49° 02'	08° 21'	25.07.1996	1876
10438	01576		Kassel	231	51° 17'	09° 26		1951
10946	04137	EDMK	Kempten	705	47° 43'	10° 20'	29.04.1992	1952
10046	03809	EDKH	Kiel-Holtenau	31	54° 22'	10° 08'		1986
10513	02222	EDDK	Köln-Bonn	92	50° 51'	07° 09'		1957
10929	02795	EDTZ	Konstanz	443	47° 40'	09° 11'	16.08.1993	1972
10805	02303		Lahr	155	48° 21'	07° 49'		1950
10469	03368	EDDP	Leipzig/Halle	131	51° 26'	12° 14'	01.04.1990	1972
10124	01710		Leuchtturm Alte Weser	32	53° 51'	08° 07'		1998
10044	03832		Leuchtturm Kiel	5	54° 30'	10° 16'		1998
10393	03346		Lindenberg	112	52° 12'	14° 07'	28.11.1976	1947
10430	01543		Lippspringe, Bad	157	51° 47'	08° 50'		1951
10020	01402	 	List auf Sylt	26	55° 00'	08° 24'	08.12.1995	1937
10361	03177		Magdeburg	76	52° 06'	11° 35'	01.01.1993	1947
10729	02695		Mannheim	96	49° 30'	08° 33'		1936
10264	03050		Marnitz	81	53° 19'	11° 56'		1947
10548	04236		Meiningen	450	50° 33'	10° 22'	01.01.1992	1979
